sp,depth,habitat,size,ref,depth_max
Aculeola nigra,110-560,benthic,60,NA,560
Alopias pelagicus,0-152,pelagic,330,NA,152
Alopias superciliosus,0-500,pelagic,461,NA,500
Alopias vulpinus,0-366,pelagic,549,NA,366
Apristurus brunneus,0-950,benthic,68,NA,950
Apristurus laurussonii,560 -1462,benthic,68,NA,1462
Apristurus macrorhynchus,NA,benthic,66,NA,NA
Apristurus manis,658-1740,benthic,76,NA,1740
Apristurus melanoasper,512-1520,benthic,59,"glésias, S.P., K. Nakaya and M. Stehmann, 2004. Apristurus melanoasper, a new species of deep-water catshark from the North Atlantic (Chondrichthyes: Carcharhiniformes: Scyliorhinidae). Cybium 28(4):345-356.",1520
Apristurus platyrhynchus,0-759,benthic,80,fb,759
Apristurus profundorum,1300-1600,benthic,54,fb,1600
Apristurus sinensis,-537,benthic,50,NA,537
Atelomycterus baliensis,NA,benthic,47,NA,NA
Atelomycterus fasciatus,27-122,benthic,45,fb,122
Atelomycterus marmoratus,0-100,benthic,70,NA,100
Atelomycterus marnkalha,Nov-47,benthic,48,NA,47
Aulohalaelurus labiosus,0-4,benthic,67,NA,4
Brachaelurus colcloughi,0-100,benthic,60,NA,100
Brachaelurus waddi,0-110,benthic,122,NA,110
Bythaelurus canescens,250-700,benthic,70,fb,700
Bythaelurus dawsoni,50-1200,benthic,45,fb,1200
Carcharhinus albimarginatus,0-800,pelagic,300,NA,800
Carcharhinus amblyrhynchos,0-280,pelagic,255,NA,280
Carcharhinus brachyurus,0-360,pelagic,325,NA,360
Carcharhinus falciformis,0-500,pelagic,330,NA,500
Carcharhinus leucas,0-150,benthic,340,NA,150
Carcharhinus limbatus,0-30,pelagic,255,NA,30
Carcharhinus melanopterus,0-30,pelagic,200,NA,30
Carcharhinus plumbeus,0-280,pelagic,249,NA,280
Carcharhinus sorrah,0-36,benthic,177,NA,36
Carcharhinus tilstoni,0-150,pelagic,200,fb,150
Carcharias taurus,0-191,benthic,318,NA,191
Carcharodon carcharias,0-1280,pelagic,640,NA,1280
Centrophorus atromarginatus,183-450,benthic,87,fb,450
Centrophorus granulosus,200-1200,benthic,150,NA,1200
Centrophorus harrissoni,250-384,benthic,80,NA,384
Centrophorus isodon,0-770,benthic,108,fb,770
Centrophorus squamosus,229-2359,benthic,158,NA,2359
Centroscyllium fabricii,180-1600,pelagic,107,NA,1600
Centroscyllium granulatum,-450,pelagic,28,NA,450
Centroscyllium nigrum,400-1143,pelagic,50,NA,1143
Centroscyllium ritteri,NA,pelagic,43,NA,NA
Centroscymnus coelolepis,270-365,benthic,114,NA,365
Centroscymnus owstonii,100-1500,benthic,148,NA,1500
Centroselachus crepidater,270-1070,benthic,90,NA,1070
Cephaloscyllium hiscosellum,294-420,benthic,52,fb,420
Cephaloscyllium laticeps,220,benthic,97,NA,NA
Cephaloscyllium silasi,250-500,benthic,35,NA,500
Cephaloscyllium variegatum,114-606,benthic,74,NA,606
Cephaloscyllium ventriosum,5-457,benthic,110,NA,457
Cetorhinus maximus,0-100,pelagic,1520,NA,100
Chaenogaleus macrostoma,0-60,benthic,100,NA,60
Chiloscyllium griseum,0-50,benthic,74,NA,50
Chiloscyllium hasseltii,0-12,benthic,51,fb,12
Chiloscyllium indicum,0-50,benthic,65,NA,50
Chiloscyllium plagiosum,0-50,benthic,95,NA,50
Chiloscyllium punctatum,0-50,benthic,104,NA,50
Chlamydoselachus anguineus,120-1280,benthic,196,NA,1280
Cirrhigaleus asper,214-600,benthic,118,NA,600
Cirrhigaleus barbifer,360-494,benthic,122,NA,494
Dalatias licha,200-1800,benthic,159,NA,1800
Deania hystricosa,600-1200,benthic,109,NA,1200
Deania profundorum,275-1785,benthic,76,NA,NA
Deania quadrispinosa,150-732,benthic,110,NA,NA
Echinorhinus brucus,350-900,benthic,310,NA,NA
Echinorhinus cookei,11-424,benthic,400,NA,NA
Etmopterus brachyurus,-450,pelagic,23,NA,NA
Etmopterus granulosus,220-637,pelagic,38,NA,NA
Etmopterus molleri,200-860,pelagic,46,NA,NA
Etmopterus polli,300-1000,pelagic,24,NA,NA
Etmopterus princeps,567-2213,pelagic,75,NA,NA
